municipio,partido,votos,porcentaje
ADOLFO ALSINA,LA LIBERTAD AVANZA,3169.0,40.87
ADOLFO ALSINA,FUERZA PATRIA,2489.0,32.1
ADOLFO ALSINA,SOMOS BUENOS AIRES,1509.0,19.46
ADOLFO ALSINA,UNION Y LIBERTAD,259.0,3.34
ADOLFO ALSINA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,94.0,1.21
ADOLFO ALSINA,MOVIMIENTO AVANZADA SOCIALISTA,52.0,0.67
ADOLFO ALSINA,POTENCIA,52.0,0.67
ADOLFO ALSINA,VALORES REPUBLICANOS,49.0,0.63
ADOLFO ALSINA,POLITICA OBRERA,42.0,0.54
ADOLFO ALSINA,FRENTE PATRIOTA FEDERAL,19.0,0.24
ADOLFO ALSINA,CONSTRUYENDO PORVENIR,9.0,0.11
ADOLFO ALSINA,PARTIDO TIEMPO DE TODOS,9.0,0.11
ADOLFO ALSINA,ES CON VOS ES CON NOSOTROS,0.0,0.0
ADOLFO ALSINA,PARTIDO LIBERTARIO,0.0,0.0
ADOLFO ALSINA,UNION LIBERAL,0.0,0.0
ADOLFO GONZALES CHAVES,FUERZA PATRIA,2592.0,55.82
ADOLFO GONZALES CHAVES,LA LIBERTAD AVANZA,1732.0,37.3
ADOLFO GONZALES CHAVES,SOMOS BUENOS AIRES,74.0,1.59
ADOLFO GONZALES CHAVES,UNION Y LIBERTAD,66.0,1.42
ADOLFO GONZALES CHAVES,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,52.0,1.11
ADOLFO GONZALES CHAVES,POTENCIA,31.0,0.66
ADOLFO GONZALES CHAVES,MOVIMIENTO AVANZADA SOCIALISTA,23.0,0.49
ADOLFO GONZALES CHAVES,VALORES REPUBLICANOS,18.0,0.38
ADOLFO GONZALES CHAVES,PARTIDO TIEMPO DE TODOS,15.0,0.32
ADOLFO GONZALES CHAVES,POLITICA OBRERA,15.0,0.32
ADOLFO GONZALES CHAVES,CONSTRUYENDO PORVENIR,14.0,0.3
ADOLFO GONZALES CHAVES,FRENTE PATRIOTA FEDERAL,11.0,0.23
ADOLFO GONZALES CHAVES,ES CON VOS ES CON NOSOTROS,0.0,0.0
ADOLFO GONZALES CHAVES,PARTIDO LIBERTARIO,0.0,0.0
ADOLFO GONZALES CHAVES,UNION LIBERAL,0.0,0.0
ALMIRANTE BROWN,FUERZA PATRIA,162302.0,54.22
ALMIRANTE BROWN,LA LIBERTAD AVANZA,84551.0,28.24
ALMIRANTE BROWN,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,17347.0,5.79
ALMIRANTE BROWN,NUEVOS AIRES,11955.0,3.99
ALMIRANTE BROWN,SOMOS BUENOS AIRES,5831.0,1.94
ALMIRANTE BROWN,UNION Y LIBERTAD,3782.0,1.26
ALMIRANTE BROWN,UNION LIBERAL,2890.0,0.96
ALMIRANTE BROWN,MOVIMIENTO AVANZADA SOCIALISTA,1995.0,0.66
ALMIRANTE BROWN,POTENCIA,1958.0,0.65
ALMIRANTE BROWN,POLITICA OBRERA,1823.0,0.6
ALMIRANTE BROWN,FRENTE PATRIOTA FEDERAL,1626.0,0.54
ALMIRANTE BROWN,VALORES REPUBLICANOS,1306.0,0.43
ALMIRANTE BROWN,PARTIDO TIEMPO DE TODOS,907.0,0.3
ALMIRANTE BROWN,CONSTRUYENDO PORVENIR,832.0,0.27
ALMIRANTE BROWN,ES CON VOS ES CON NOSOTROS,185.0,0.06
ALMIRANTE BROWN,PARTIDO LIBERTARIO,16.0,0.01
ARRECIFES,FUERZA PATRIA,7048.0,45.51
ARRECIFES,LA LIBERTAD AVANZA,5143.0,33.21
ARRECIFES,ESP. ABIERTO PARA EL DES. Y LA INT. SOCIAL,2376.0,15.34
ARRECIFES,PARTIDO LIBERTARIO,250.0,1.61
ARRECIFES,POTENCIA,166.0,1.07
ARRECIFES,UNION Y LIBERTAD,118.0,0.76
ARRECIFES,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,87.0,0.56
ARRECIFES,UNION LIBERAL,58.0,0.37
ARRECIFES,MOVIMIENTO AVANZADA SOCIALISTA,56.0,0.36
ARRECIFES,CONSTRUYENDO PORVENIR,48.0,0.3
ARRECIFES,POLITICA OBRERA,44.0,0.28
ARRECIFES,ES CON VOS ES CON NOSOTROS,30.0,0.19
ARRECIFES,VALORES REPUBLICANOS,30.0,0.19
ARRECIFES,FRENTE PATRIOTA FEDERAL,15.0,0.09
ARRECIFES,PARTIDO TIEMPO DE TODOS,15.0,0.09
AVELLANEDA,FUERZA PATRIA,122023.0,62.03
AVELLANEDA,LA LIBERTAD AVANZA,53906.0,27.4
AVELLANEDA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,6862.0,3.48
AVELLANEDA,NUEVOS AIRES,4227.0,2.14
