municipio,partido,votos,porcentaje
ALBERTI,FUERZA PATRIA,3179.0,49.83
ALBERTI,LA LIBERTAD AVANZA,1741.0,27.29
ALBERTI,SOMOS BUENOS AIRES,977.0,15.31
ALBERTI,FRENTE PATRIOTA FEDERAL,280.0,4.38
ALBERTI,UNION LIBERAL,52.0,0.81
ALBERTI,UNION Y LIBERTAD,32.0,0.5
ALBERTI,ES CON VOS ES CON NOSOTROS,27.0,0.42
ALBERTI,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,27.0,0.42
ALBERTI,VALORES REPUBLICANOS,15.0,0.23
ALBERTI,NUEVOS AIRES,13.0,0.2
ALBERTI,POTENCIA,11.0,0.17
ALBERTI,PARTIDO TIEMPO DE TODOS,7.0,0.1
ALBERTI,POLITICA OBRERA,7.0,0.1
ALBERTI,MOVIMIENTO AVANZADA SOCIALISTA,6.0,0.09
ALBERTI,CONSTRUYENDO PORVENIR,5.0,0.07
ALBERTI,PARTIDO LIBERTARIO,0.0,0.0
AYACUCHO,FUERZA PATRIA,4121.0,39.88
AYACUCHO,LA LIBERTAD AVANZA,2850.0,27.58
AYACUCHO,SOMOS BUENOS AIRES,2775.0,26.85
AYACUCHO,UNION LIBERAL,117.0,1.13
AYACUCHO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,109.0,1.05
AYACUCHO,POTENCIA,76.0,0.73
AYACUCHO,UNION Y LIBERTAD,71.0,0.68
AYACUCHO,POLITICA OBRERA,55.0,0.53
AYACUCHO,VALORES REPUBLICANOS,47.0,0.45
AYACUCHO,MOVIMIENTO AVANZADA SOCIALISTA,35.0,0.33
AYACUCHO,CONSTRUYENDO PORVENIR,28.0,0.27
AYACUCHO,FRENTE PATRIOTA FEDERAL,26.0,0.25
AYACUCHO,PARTIDO TIEMPO DE TODOS,19.0,0.18
AYACUCHO,ES CON VOS ES CON NOSOTROS,2.0,0.01
AYACUCHO,PARTIDO LIBERTARIO,1.0,0.01
AZUL,LA LIBERTAD AVANZA,12095.0,35.63
AZUL,FUERZA PATRIA,12046.0,35.48
AZUL,SOMOS BUENOS AIRES,4383.0,12.91
AZUL,POTENCIA,2323.0,6.84
AZUL,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,878.0,2.58
AZUL,UNION Y LIBERTAD,853.0,2.51
AZUL,UNION LIBERAL,794.0,2.33
AZUL,VALORES REPUBLICANOS,136.0,0.4
AZUL,MOVIMIENTO AVANZADA SOCIALISTA,131.0,0.38
AZUL,CONSTRUYENDO PORVENIR,121.0,0.35
AZUL,FRENTE PATRIOTA FEDERAL,105.0,0.3
AZUL,PARTIDO TIEMPO DE TODOS,76.0,0.22
AZUL,PARTIDO LIBERTARIO,1.0,0.01
AZUL,ES CON VOS ES CON NOSOTROS,0.0,0.0
BALCARCE,LA LIBERTAD AVANZA,9027.0,37.32
BALCARCE,SOMOS BUENOS AIRES,6035.0,24.95
BALCARCE,FUERZA PATRIA,5316.0,21.97
BALCARCE,POTENCIA,2744.0,11.34
BALCARCE,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,238.0,0.98
BALCARCE,UNION Y LIBERTAD,219.0,0.9
BALCARCE,VALORES REPUBLICANOS,191.0,0.78
BALCARCE,POLITICA OBRERA,122.0,0.5
BALCARCE,MOVIMIENTO AVANZADA SOCIALISTA,111.0,0.45
BALCARCE,CONSTRUYENDO PORVENIR,73.0,0.3
BALCARCE,FRENTE PATRIOTA FEDERAL,52.0,0.21
BALCARCE,PARTIDO TIEMPO DE TODOS,51.0,0.21
BALCARCE,ES CON VOS ES CON NOSOTROS,4.0,0.01
BALCARCE,PARTIDO LIBERTARIO,2.0,0.01
BALCARCE,UNION LIBERAL,2.0,0.01
BOLIVAR,FUERZA PATRIA,7373.0,43.45
BOLIVAR,LA LIBERTAD AVANZA,5354.0,31.55
BOLIVAR,SOMOS BUENOS AIRES,2712.0,15.98
BOLIVAR,POTENCIA,543.0,3.2
BOLIVAR,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,447.0,2.63
BOLIVAR,UNION Y LIBERTAD,356.0,2.09
BOLIVAR,VALORES REPUBLICANOS,47.0,0.27
BOLIVAR,CONSTRUYENDO PORVENIR,40.0,0.23
BOLIVAR,MOVIMIENTO AVANZADA SOCIALISTA,39.0,0.22
BOLIVAR,PARTIDO TIEMPO DE TODOS,26.0,0.15
BOLIVAR,FRENTE PATRIOTA FEDERAL,25.0,0.14
BOLIVAR,UNION LIBERAL,6.0,0.03
BOLIVAR,ES CON VOS ES CON NOSOTROS,0.0,0.0
BOLIVAR,PARTIDO LIBERTARIO,0.0,0.0
BRAGADO,FUERZA PATRIA,9562.0,42.4
BRAGADO,LA LIBERTAD AVANZA,8695.0,38.55
BRAGADO,SOMOS BUENOS AIRES,2461.0,10.91
BRAGADO,ES CON VOS ES CON NOSOTROS,417.0,1.84
BRAGADO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,360.0,1.59
BRAGADO,POTENCIA,319.0,1.41
BRAGADO,UNION Y LIBERTAD,174.0,0.77
BRAGADO,NUEVOS AIRES,158.0,0.7
BRAGADO,VALORES REPUBLICANOS,95.0,0.42
BRAGADO,POLITICA OBRERA,71.0,0.31
BRAGADO,MOVIMIENTO AVANZADA SOCIALISTA,66.0,0.29
BRAGADO,FRENTE PATRIOTA FEDERAL,60.0,0.26
BRAGADO,CONSTRUYENDO PORVENIR,59.0,0.26
BRAGADO,PARTIDO TIEMPO DE TODOS,43.0,0.19
BRAGADO,UNION LIBERAL,9.0,0.03
BRAGADO,PARTIDO LIBERTARIO,1.0,0.01
CAMPANA,FUERZA PATRIA,22987.0,41.45
CAMPANA,LA LIBERTAD AVANZA,22630.0,40.81
CAMPANA,PARTIDO LIBERTARIO,2834.0,5.11
CAMPANA,SOMOS BUENOS AIRES,1915.0,3.45
